                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.8817,                 1.8935,                0.69466,                0.99237,              0.0009802
                      1,                 1.3914,                 1.7184,                0.74618,                      1,              0.0009604
                      2,                  1.273,                 1.7223,                0.77481,                0.99809,              0.0009406
                      3,                 1.1825,                  1.423,                0.86832,                      1,              0.0009208
                      4,                 1.1277,                 1.5276,                0.85878,                0.99809,               0.000901
                      5,                 1.0925,                   1.44,                0.86641,                      1,              0.0008812
                      6,                 1.1273,                 1.4698,                0.82443,                0.99809,              0.0008614
                      7,                 1.0923,                 1.9971,                0.67176,                0.99046,              0.0008416
                      8,                 1.0909,                 1.4313,                 0.8626,                      1,              0.0008218
                      9,                 1.0651,                 1.4656,                0.86069,                      1,               0.000802
                     10,                 1.0633,                 1.5063,                0.83206,                      1,              0.0007822
                     11,                   1.06,                 1.5108,                0.85115,                0.99427,              0.0007624
                     12,                 1.0635,                 1.5704,                0.83969,                0.99809,              0.0007426
                     13,                 1.0467,                 1.3968,                0.87023,                0.99809,              0.0007228
                     14,                 1.0412,                 1.5246,                0.84924,                0.99427,               0.000703
                     15,                 1.0756,                 1.4706,                0.86069,                0.99809,              0.0006832
                     16,                 1.0531,                 1.3902,                0.88168,                0.99618,              0.0006634
                     17,                 1.0428,                 1.3998,                0.88931,                0.99809,              0.0006436
                     18,                 1.0645,                 1.5174,                0.85687,                0.99237,              0.0006238
                     19,                 1.0447,                 1.4815,                0.85115,                0.99427,               0.000604
                     20,                 1.0361,                 1.5782,                0.85115,                0.99237,              0.0005842
                     21,                  1.046,                 1.4633,                0.84733,                      1,              0.0005644
                     22,                 1.0319,                 1.4055,                0.88168,                0.99809,              0.0005446
                     23,                 1.0291,                 1.4378,                 0.8645,                0.99809,              0.0005248
                     24,                 1.0393,                 1.4185,                0.87405,                0.99618,               0.000505
                     25,                 1.0285,                  1.501,                0.86641,                0.99618,              0.0004852
                     26,                 1.0429,                 1.4456,                0.88168,                0.99427,              0.0004654
                     27,                 1.0251,                 1.3652,                0.89504,                0.99809,              0.0004456
                     28,                 1.0351,                 1.4667,                 0.8874,                0.99618,              0.0004258
                     29,                 1.0272,                  1.371,                0.89313,                0.99618,               0.000406
                     30,                 1.0268,                 1.3775,                 0.8874,                0.99427,              0.0003862
                     31,                 1.0385,                 1.4264,                0.87214,                0.99618,              0.0003664
                     32,                 1.0272,                 1.6311,                0.85115,                0.99046,              0.0003466
                     33,                 1.0305,                  1.439,                0.87977,                0.99237,              0.0003268
                     34,                 1.0198,                 1.4341,                0.87786,                0.99618,               0.000307
                     35,                 1.0195,                 1.4322,                0.87977,                0.99809,              0.0002872
                     36,                 1.0197,                 1.4502,                0.87786,                0.99427,              0.0002674
                     37,                 1.0184,                 1.4728,                0.87786,                0.99618,              0.0002476
                     38,                 1.0194,                 1.4221,                0.87595,                0.99618,              0.0002278
                     39,                  1.025,                 1.4302,                0.87595,                0.99427,               0.000208
                     40,                 1.0182,                 1.4423,                0.87977,                0.99427,              0.0001882
                     41,                 1.0211,                 1.5164,                0.87977,                0.99427,              0.0001684
                     42,                 1.0222,                 1.4927,                0.87977,                0.99618,              0.0001486
                     43,                 1.0178,                 1.4641,                0.87405,                0.99618,              0.0001288
                     44,                 1.0172,                 1.4417,                0.87595,                0.99618,               0.000109
                     45,                 1.0172,                 1.4755,                0.87977,                0.99618,               8.92e-05
                     46,                 1.0169,                 1.4552,                0.87786,                0.99427,               6.94e-05
                     47,                 1.0167,                 1.4233,                0.87977,                0.99618,               4.96e-05
                     48,                 1.0169,                 1.4186,                0.87977,                0.99618,               2.98e-05
                     49,                 1.0182,                 1.4197,                0.87977,                0.99618,                  1e-05
